31 декаб,ря 2022 г:,31 декаб,ря 2021,
Кратко- срочная часть,Долго- срочная часть,Кратко- срочная часть,Долго- срочная часть,
гы полученные,,,,
ШИЙ ДОЛГ,6 680 190,7 923 476,,
ординированный,5 706,12 9,,
упрощенного типа,,,,
НИКОМ ВКСРх,,,,
аем кAx,3 797 789 ~nn,3 418 981,,
ЦИи,6 680 190,9 503 846,7 923 476,8 557 570
6 112 126,6 514 023,,,
4 464 340,,,,
10 576 466,274 09,,,
,,,,
",ых процапттов 211нмм Т1,",220 42г,,,
1,242 150,179 onn,,
943 980,uv 124 4an,,,
1 о75 955,1z т 1uu FFа 296,,,
7 655 445,20 080 312,8 475 802,19 831 664,
,,,,
