"Выручка, показатели прибыльности отчетных сегментов Группы за годы",ЛИ убыточнс закончивши,сти сегмен: еся 31 декаб,"гов (EBITD ря 2022,20","A) и прочая 21 и 2020, пр",сегментная инфор ледставлены в Taб,мация по прс лице ниже:,должающейся,деятельности,разрезе
"За год, закончившийся 31 декабря 2022 года",Группа ГМК,Южный кластер,Группа КГМК,NN Harjavalta,ГРК Быстринское,Прочие добываю- щие,Прочие не- металлур- гические,Исклю- чено,Итого
Выручка от реализации внешним контра,тгентам,,,,,,,,
Выручка от реализации металлов,364 694,537 177,121 564,79 526,27 585,1 130 546,,,
Выручка от прочей реализации,16 924,310,2 168,1 252,50,33 227,53 931,,
Выручка от реализации другим сегмента,,,,,,,,,
Выручка от реализации металлов,426 763,49 914,202 516,42 714,9 074,203,(731 184),,
Выручка от прочей реализации,25 349,15 834,60,43,1 825,45,42 222,85 378),
Итого выручка,833 730,66 058,741 921,165 573,90 475,45,103 237,(816 562),1 184 477
Сегментная EBITDA,310 359,31 443,286 716,11 741,65 135,683,544,(11 937),693 318
Нераспределенные,73 363),,,,,,,,
Консолидированная EBITDA,619 955,,,,,,,,
Износ и амортизация,(68 251),,,,,,,,
Убыток от обесценения,,,,,,,,,
нефинансовых активов нетто,( 638,,,,,,,,
"Финансовые расходы, нетто",(37 087,,,,,,,,
Финансовыс рРасходы HCLIU,(37 UO / гnm1 41|т1,,,,,,,,
Положительные курсовые разницы; нетто,26 800,,,,,,,,
положитсльныс курсовыс Рзницы HCLIU,eU ouu,,,,,,,,
Прибыль от инвестиционной,,,,,,,,,
Прибыль от инвестиционной,,,,,,,,,
пpиvыль 01 нньсснцноннон пеятепьности и vбыток от выбытия,,,,,,,,,
деятельности и убыток от выбытия,,,,,,,,,
деятельности и убыток от выбытия,,,,,,,,,
почерних оnганизаний,2 324,,,,,,,,
дочерних организаций,2 324,,,,,,,,
причыль ДU HaлоI Uuложения,Прочие,Прочие не-,JJо uoJ,,,,,,
Группа,Южный,Группа ТPттг,NN,ГРК,Прочие добываю-,Прочие не- металлур-,Нераспре-,,
"тк адmттa ш,5 ;",кластер,ш Iк,Harlavalta,Быстринское,щие,гические,деленные,итого,
шpuqис ществепнысденеmныс пед|г Приобретение основных срелств,,,,,,,,,
~1 ~1 нематериальных активов,221 187,20 0O0,23 672,482,803,690,15 979,287 813,
Износ и амортизация,47 882,3 725,1 856,1 836,9 856,3 090,68 251,,
Убыток от обесценения/ (восстановление),,,,,,,,,
убытка от обесценения,,,,,,,,,
нефинансовых активов; нетто,4 539,234,111,(73),277,570,5 658,,
Изменение резервов,8 850,(50),819,181,157,80,1 466,11 503,
