Ha 31,вка бря 202,года,Ha 31 дс,скабря 202,года,Ha 31 де,'кабря 2020,года,
Доллар США,Юани,Прочие,Доллар США,Юани,Прочие,Доллар США,Юани,Прочие,
Денежные средства эквиваленты,82 241,18 693,4 928,208 917,1 374,3 102,364 942,4 859,4 622
Торговая и прочая дебиторская Ra топенно,299,,,,,,,,
Зqдоллснность Прочие активы,IUu zuu 1 571,9 00J 3 787,Do 4 065,2 UIJ 462,47 Iul 2 439,IU 856,,,
,,,,,,,,,
,,,,,,,,,
Upivuыv Apv кредиторы,53 438,233,4 454,26 070,9 078,20 313,7 844,,
Кредиты и займы,548 428,88 992,1 318,732 659,1 762,669 056,2 097,,
Обязательства по аренде,933,774,7 954,1 157,8 428,1 595,,,
Прочие обязательства,558,545,1 726,1 239,86,,,,
Обязательства,603 357,89 232,091,768 409,11 997,699 036,11 622,,
